"Truth Table"
"Projectable (p)","Defined (q)","Client (r)","Intersect - Non-strict"
*,*,*,"id, name"
*,*,id,id
*,*,name,name
*,*,"id, name","id, name"

*,id,*,id
*,id,id,id
*,id,name,
*,id,"id, name",id

*,name,*,name
*,name,id,
*,name,name,name
*,name,"id, name",name

*,"id, name",*,"id, name"
*,"id, name",id,id
*,"id, name",name,name
*,"id, name","id, name","id, name"


id,*,*,id
id,*,id,id
id,*,name,
id,*,"id, name",id

id,id,*,id
id,id,id,id
id,id,name,
id,id,"id, name",id

id,name,*,"invalid defined"
id,name,id,"invalid defined"
id,name,name,"invalid defined"
id,name,"id, name","invalid defined"

id,"id, name",*,id
id,"id, name",id,id
id,"id, name",name,
id,"id, name","id, name",id


name,*,*,name
name,*,id,
name,*,name,name
name,*,"id, name",name

name,id,*,"invalid defined"
name,id,id,"invalid defined"
name,id,name,"invalid defined"
name,id,"id, name","invalid defined"

name,name,*,name
name,name,id,
name,name,name,name
name,name,"id, name",name

name,"id, name",*,name
name,"id, name",id,
name,"id, name",name,name
name,"id, name","id, name",name


"id, name",*,*,"id, name"
"id, name",*,id,id
"id, name",*,name,name
"id, name",*,"id, name","id, name"

"id, name",id,*,id
"id, name",id,id,id
"id, name",id,name,
"id, name",id,"id, name",id

"id, name",name,*,name
"id, name",name,id,
"id, name",name,name,name
"id, name",name,"id, name",name

"id, name","id, name",*,"id, name"
"id, name","id, name",id,id
"id, name","id, name",name,name
"id, name","id, name","id, name","id, name"


