"Truth Table"
"Projectable (p)","Defined (q)","Client (r)","Intersect - Non-strict","Intersect - Strict"
*,*,*,"id, name","id, name"
*,*,id,id,id
*,*,name,name,name
*,*,"id, name","id, name","id, name"

*,id,*,id,id
*,id,id,id,id
*,id,name,,422
*,id,"id, name",id,422

*,name,*,name,name
*,name,id,,422
*,name,name,name,name
*,name,"id, name",name,422

*,"id, name",*,"id, name","id, name"
*,"id, name",id,id,id
*,"id, name",name,name,name
*,"id, name","id, name","id, name","id, name"


id,*,*,id,id
id,*,id,id,id
id,*,name,,422
id,*,"id, name",id,422

id,id,*,id,id
id,id,id,id,id
id,id,name,,422
id,id,"id, name",id,422

id,name,*,"invalid defined","invalid defined"
id,name,id,"invalid defined",422
id,name,name,"invalid defined",422
id,name,"id, name","invalid defined",422

id,"id, name",*,id,id
id,"id, name",id,id,id
id,"id, name",name,,422
id,"id, name","id, name",id,422


name,*,*,name,name
name,*,id,,422
name,*,name,name,name
name,*,"id, name",name,422

name,id,*,"invalid defined","invalid defined"
name,id,id,"invalid defined",422
name,id,name,"invalid defined",422
name,id,"id, name","invalid defined",422

name,name,*,name,name
name,name,id,,422
name,name,name,name,name
name,name,"id, name",name,422

name,"id, name",*,name,name
name,"id, name",id,,422
name,"id, name",name,name,name
name,"id, name","id, name",name,422


"id, name",*,*,"id, name","id, name"
"id, name",*,id,id,id
"id, name",*,name,name,name
"id, name",*,"id, name","id, name","id, name"

"id, name",id,*,id,id
"id, name",id,id,id,id
"id, name",id,name,,422
"id, name",id,"id, name",id,422

"id, name",name,*,name,name
"id, name",name,id,,422
"id, name",name,name,name,name
"id, name",name,"id, name",name,422

"id, name","id, name",*,"id, name","id, name"
"id, name","id, name",id,id,id
"id, name","id, name",name,name,name
"id, name","id, name","id, name","id, name","id, name"


